> gp.mtx
        [,1]   [,2]   [,3]   [,4]   [,5]   [,6]   [,7]
 [1,] 8.3539 2.8903 2.1937 9.5293 0.5039 0.0470 0.0777
 [2,] 8.3481 2.8893 2.1930 9.4592 0.5046 0.0471 0.0777
 [3,] 8.3435 2.8885 2.1925 9.3877 0.5054 0.0472 0.0776
 [4,] 8.3402 2.8879 2.1921 9.3141 0.5062 0.0473 0.0776
 [5,] 8.3379 2.8875 2.1919 9.2323 0.5071 0.0473 0.0776
 [6,] 8.3372 2.8874 2.1918 9.1447 0.5080 0.0474 0.0776
 [7,] 8.3372 2.8874 2.1919 9.0551 0.5090 0.0475 0.0776
 [8,] 8.3390 2.8877 2.1921 8.9523 0.5102 0.0476 0.0776
 [9,] 8.3428 2.8884 2.1926 8.8558 0.5113 0.0477 0.0776
[10,] 8.3475 2.8892 2.1931 8.7596 0.5125 0.0478 0.0777
[11,] 8.3547 2.8905 2.1939 8.6498 0.5137 0.0479 0.0777
